test_score,skill_match_ratio,relevant_experience,project_match,preferred_domain,skills_text,projects_text,titles_text,label
87,0.9166666666666666,7,1,mobile app development,xamarin android kotlin push notification firebase flutter swift react native objectivec app store mobile testing communication,ui testing project communication project,ios developer android developer react native developer,fit
86,0.75,0,1,mobile app development,xamarin android kotlin push notification uiux mobile critical thinking problem solving react native objectivec app store mobile testing,ios project firebase project,,no_fit
71,0.5555555555555556,0,1,game development,c shader programming game design ai unity,graphics project,,suggest
93,0.9,0,0,robotics,automation control systems mechanical design robotics robot programming c problem solving arduino ros sensors,communication project,,suggest
69,0.8888888888888888,2,1,business analysis,scrum uml documentation data analysis stakeholder management teamwork requirements gathering agile business process,analysis project,business process analyst business analyst,suggest
70,0.8333333333333334,9,1,mobile app development,android kotlin push notification uiux mobile swift flutter react native objectivec app store mobile testing,payment project,flutter developer mobile software engineer mobile software engineer,partial
72,0.5714285714285714,4,1,web development,graphql html redux teamwork javascript nodejs bootstrap typescript sass,login project problem solving project,web developer frontend developer,partial
67,0.6,3,1,digital marketing,email marketing content marketing analytics seo problem solving ads sem,leads project branding project,digital marketer,suggest
67,0.9,1,1,digital marketing,email marketing content marketing ppc google analytics marketing strategy analytics seo problem solving ads sem,campaign project,seo specialist,suggest
88,0.8888888888888888,0,1,augmented reality  virtual reality,c 3d animation shader programming ar interaction design 3d modeling unreal engine unity,interactive project critical thinking project,,suggest
68,1.0,1,1,web development,graphql html redux angular javascript nextjs express nodejs css bootstrap react typescript vue sass,critical thinking project form project,javascript developer,no_fit
62,0.7777777777777778,4,0,quality assurance,manual testing performance testing qa selenium jenkins bug tracking problem solving cypress,problem solving project,qa engineer software tester sdet,no_fit
75,0.7272727272727273,4,0,networking,lanwlan vpn routing packet analysis cisco dns tcpip switching,communication project,network consultant it support specialist,partial
60,0.4444444444444444,3,1,quality assurance,manual testing test cases teamwork bug tracking critical thinking cypress,validation project critical thinking project,test automation engineer,no_fit
73,1.0,0,1,game development,c shader programming teamwork graphics programming game physics unreal engine blender game design ai unity communication,critical thinking project npc project,,suggest
77,0.7777777777777778,3,1,quality assurance,manual testing performance testing qa test automation jenkins bug tracking cypress,bugs project,sdet test automation engineer,partial
71,0.7,8,1,robotics,control systems mechanical design robotics robot programming c ros sensors,sensors project communication project,robotics engineer mechatronics engineer control systems engineer,partial
79,0.8461538461538461,1,1,uiux design,user research ux journey mapping interaction design adobe xd wireframe design sketch persona figma prototype communication,problem solving project persona project,ui designer,partial
87,0.5,0,1,blockchain,smart contracts truffle remix defi solidity,transaction project crypto project,,no_fit
75,0.8888888888888888,0,0,augmented reality  virtual reality,c vr shader programming 3d animation ar 3d modeling unreal engine unity,problem solving project,,suggest
84,0.5384615384615384,0,1,uiux design,user research ux journey mapping wireframe design critical thinking problem solving persona visual design,persona project,,no_fit
72,0.8888888888888888,7,1,technical writing,writing documentation editing guidelines teamwork manuals reports content creation technical manuals,process docs project,content writer documentation specialist documentation specialist,partial
67,0.75,2,0,mobile app development,xamarin kotlin push notification firebase uiux mobile swift problem solving react native objectivec mobile testing communication,problem solving project,mobile app engineer,no_fit
85,0.4444444444444444,3,1,game development,shader programming c blender unity,npc project,graphics programmer,fit
89,0.6,0,1,digital marketing,email marketing social media ppc google analytics analytics seo,leads project,,suggest
77,0.5555555555555556,4,1,technical writing,documentation guidelines manuals reports content creation,technical docs project process docs project,technical writer documentation specialist,partial
66,0.5454545454545454,7,0,networking,dhcp teamwork routing cisco dns switching firewall,problem solving project,network engineer network consultant network analyst,no_fit
81,0.7857142857142857,0,1,web development,graphql redux angular nodejs express nextjs css bootstrap react typescript vue,portal project communication project,,no_fit
60,0.6363636363636364,2,1,networking,lanwlan dhcp vpn packet analysis network monitoring tcpip firewall,switch project critical thinking project,network consultant,no_fit
85,0.75,3,1,database administration,backup sql server teamwork database design query optimization mysql mongodb critical thinking replication performance tuning data warehousing,replication project teamwork project,data architect,fit
78,0.6428571428571429,0,1,web development,graphql angular javascript nextjs express nodejs bootstrap react sass,critical thinking project login project,,no_fit
91,1.0,2,1,artificial intelligence,scikitlearn tensorflow reinforcement learning cv ml pipelines rnn computer vision pytorch keras nlp deep learning gan cnn,chatbot project,deep learning engineer,fit
70,0.5,0,0,devops,automation terraform monitoring critical thinking docker scripting azure communication,teamwork project,,suggest
76,0.6666666666666666,0,1,game development,c graphics programming game physics unreal engine blender unity,game project ai project,,suggest
79,0.9166666666666666,0,1,database administration,backup database design query optimization oracle mongodb mysql replication nosql postgresql performance tuning data warehousing communication,teamwork project database project,,no_fit
69,0.5,4,1,product management,scrum stakeholder management requirements gathering problem solving agile,critical thinking project release project,product owner project manager program manager,suggest
73,0.5384615384615384,7,1,uiux design,user research interaction design teamwork adobe xd wireframe persona figma prototype,mockup project,interaction designer visual designer ui designer,partial
83,0.8,2,1,blockchain,truffle remix ethereum cryptography defi dapps communication web3 solidity,teamwork project smart contract project,blockchain developer,fit
61,1.0,0,0,digital marketing,email marketing social media content marketing ppc google analytics marketing strategy analytics seo ads sem,critical thinking project,,no_fit
80,0.6,8,1,robotics,automation control systems teamwork embedded systems c arduino robot programming communication,actuators project teamwork project,embedded systems engineer control systems engineer automation engineer,fit
92,0.7777777777777778,0,1,quality assurance,test cases performance testing qa test automation selenium jenkins cypress,validation project,,suggest
64,0.5555555555555556,0,1,technical writing,guidelines manuals reports problem solving content creation research,technical docs project,,no_fit
90,0.5,2,1,mobile app development,xamarin kotlin swift react native objectivec mobile testing communication,ios project communication project,ios developer,fit
90,0.5714285714285714,2,1,web development,graphql html angular javascript css bootstrap problem solving vue sass communication,dashboard project api project,backend engineer,fit
85,0.6,8,1,robotics,automation control systems mechanical design c critical thinking problem solving robot programming sensors,robot project robot project,control systems engineer robot programmer robotics engineer,fit
79,0.9166666666666666,4,1,cybersecurity,teamwork siem incident response network security ethical hacking linux cryptography problem solving forensics risk management vulnerability assessment security auditing firewall,security monitoring project,cybersecurity engineer information security specialist,partial
63,0.4615384615384615,5,1,uiux design,user research journey mapping wireframe sketch persona figma,problem solving project research project,interaction designer ui designer,no_fit
80,0.5,9,0,web development,graphql teamwork nodejs express critical thinking bootstrap react typescript sass,communication project critical thinking project,ui developer web developer frontend engineer,fit
82,0.7,0,1,blockchain,truffle smart contracts ethereum teamwork cryptography defi web3 solidity,decentralized project,,suggest
85,0.75,0,1,mobile app development,android kotlin push notification swift flutter react native objectivec app store mobile testing,ui testing project mobile project,,no_fit
89,0.4444444444444444,5,1,technical writing,writing documentation manuals critical thinking problem solving content creation,documentation project,technical writer technical writer technical writer,fit
72,0.5,6,1,product management,scrum stakeholder management requirements gathering analytics critical thinking,roadmap project market project,product strategist program manager,partial
91,1.0,0,1,artificial intelligence,scikitlearn tensorflow reinforcement learning cv computer vision rnn ml pipelines pytorch keras nlp deep learning communication gan cnn,chatbot project,,suggest
87,0.8,4,0,digital marketing,social media content marketing ppc teamwork google analytics marketing strategy seo critical thinking ads sem,problem solving project,seo specialist marketing analyst,fit
79,0.5,3,1,cybersecurity,siem linux penetration testing forensics ethical hacking security auditing communication,pentest project intrusion project,penetration tester,partial
69,0.8888888888888888,1,1,quality assurance,manual testing test cases performance testing qa test automation selenium jenkins cypress,automation project,qa analyst,no_fit
71,0.8888888888888888,0,0,technical writing,writing editing guidelines manuals critical thinking reports content creation communication research technical manuals,communication project,,no_fit
94,0.9230769230769232,0,1,data science,python numpy scikitlearn data visualization machine learning pandas statistics matplotlib feature engineering sql deep learning etl communication,problem solving project prediction project,,suggest
66,0.4615384615384615,2,1,uiux design,ux journey mapping adobe xd wireframe design sketch problem solving communication,research project,product designer,no_fit
72,0.75,9,1,cybersecurity,siem network security linux penetration testing forensics risk management vulnerability assessment security auditing firewall communication,cyber attack project,security consultant security consultant penetration tester,partial
69,0.8333333333333334,2,0,cloud computing,serverless cloud security aws gcp terraform scaling kubernetes docker cicd pipelines azure,teamwork project,cloud engineer,no_fit
76,0.5384615384615384,7,0,artificial intelligence,scikitlearn teamwork computer vision ml pipelines rnn pytorch deep learning cnn,problem solving project,ai engineer ai engineer computer vision engineer,partial
93,0.6,0,1,blockchain,smart contracts truffle remix ethereum cryptography problem solving dapps,blockchain project blockchain project,,suggest
68,0.9166666666666666,4,1,cloud computing,serverless cloud security gcp aws terraform scaling kubernetes docker cicd pipelines problem solving azure load balancing,deployment project cloud project,site reliability engineer cloud engineer,no_fit
81,1.0,4,0,uiux design,user research ux user testing interaction design journey mapping adobe xd wireframe design critical thinking sketch persona figma visual design prototype,teamwork project,ui designer ux designer,fit
75,0.5833333333333334,3,1,mobile app development,xamarin android kotlin push notification firebase critical thinking objectivec mobile testing,analytics project android project,react native developer,partial
83,0.5454545454545454,0,1,networking,lanwlan routing packet analysis cisco problem solving switching firewall,firewall project,,suggest
87,0.7777777777777778,0,1,technical writing,documentation editing guidelines reports content creation research technical manuals,technical docs project instructions project,,suggest
89,0.75,2,1,devops,automation aws ansible terraform teamwork jenkins monitoring critical thinking docker azure git,build project communication project,devops engineer,fit
63,0.9090909090909092,3,1,networking,lanwlan vpn routing firewall teamwork packet analysis cisco problem solving dns tcpip switching dhcp,critical thinking project vpn project,network administrator,no_fit
67,1.0,5,1,mobile app development,xamarin android kotlin push notification firebase uiux mobile swift flutter react native objectivec app store mobile testing communication,android project app store project,mobile software engineer flutter developer,no_fit
68,0.5555555555555556,0,1,quality assurance,manual testing performance testing qa test automation bug tracking communication,validation project,,no_fit
61,0.6666666666666666,2,1,quality assurance,manual testing test cases performance testing test automation jenkins critical thinking cypress communication,validation project,sdet,no_fit
70,0.5,3,0,database administration,database design query optimization oracle replication postgresql mongodb,teamwork project critical thinking project,sql developer database administrator,partial
77,0.8461538461538461,0,1,artificial intelligence,scikitlearn tensorflow reinforcement learning computer vision ml pipelines rnn critical thinking pytorch problem solving keras nlp deep learning gan,nlp project,,suggest
74,0.7142857142857143,2,1,web development,html redux angular javascript nodejs express css react vue sass,cms project cms project,backend developer,partial
65,0.5,0,0,database administration,database design oracle mysql mongodb critical thinking problem solving postgresql replication,critical thinking project,,no_fit
87,0.8888888888888888,4,0,quality assurance,manual testing test cases performance testing qa test automation jenkins bug tracking cypress,critical thinking project,quality analyst software tester test automation engineer,fit
84,0.7272727272727273,1,1,networking,lanwlan routing packet analysis cisco dns tcpip switching dhcp,configuration project troubleshooting project,system administrator,partial
78,0.6666666666666666,3,1,quality assurance,manual testing test cases performance testing qa test automation jenkins problem solving,bugs project validation project,software tester,partial
65,0.6363636363636364,2,1,networking,lanwlan vpn routing packet analysis cisco critical thinking problem solving dns tcpip,firewall project,it support specialist system administrator,no_fit
82,1.0,0,1,blockchain,smart contracts truffle remix ethereum cryptography defi critical thinking dapps web3 nfts solidity,smart contract project,,suggest
89,0.6153846153846154,0,0,data science,python scikitlearn data visualization pandas matplotlib feature engineering deep learning etl,communication project communication project,,suggest
76,0.9166666666666666,0,0,database administration,backup data warehousing sql server database design query optimization oracle mysql mongodb nosql postgresql replication,teamwork project,,no_fit
69,0.6153846153846154,1,1,uiux design,user research user testing journey mapping wireframe design sketch persona figma,user testing project,ui designer,no_fit
85,1.0,6,0,cybersecurity,teamwork siem incident response network security ethical hacking cryptography linux penetration testing forensics risk management vulnerability assessment security auditing firewall communication,problem solving project,ethical hacker ethical hacker,fit
79,1.0,3,1,artificial intelligence,scikitlearn tensorflow teamwork reinforcement learning cv ml pipelines rnn computer vision pytorch problem solving keras nlp deep learning gan cnn,neural network project,ai engineer ai engineer,partial
79,0.6363636363636364,3,1,networking,lanwlan routing packet analysis critical thinking dns tcpip switching dhcp communication,router project vpn project,it support specialist network engineer,partial
80,0.8333333333333334,6,1,mobile app development,android kotlin push notification firebase uiux mobile swift react native objectivec app store mobile testing,app store project,flutter developer flutter developer android developer,fit
65,0.9166666666666666,0,0,database administration,backup sql server data warehousing database design query optimization mysql critical thinking replication nosql postgresql performance tuning mongodb communication,problem solving project,,no_fit
66,0.9166666666666666,7,1,database administration,backup sql server data warehousing database design query optimization mysql replication problem solving nosql postgresql performance tuning mongodb communication,etl project etl project,sql developer data architect sql developer,no_fit
62,0.5384615384615384,8,1,uiux design,user research journey mapping interaction design sketch persona figma prototype,usability project,ui designer ui designer visual designer,no_fit
59,0.9,0,1,digital marketing,email marketing social media content marketing ppc teamwork marketing strategy analytics seo ads communication sem,conversion project traffic project,,no_fit
72,0.5,0,0,web development,redux angular javascript nextjs express react sass,teamwork project,,no_fit
72,0.6666666666666666,0,1,game development,shader programming critical thinking unreal engine blender game design problem solving ai unity,character project character project,,suggest
82,0.7692307692307693,6,1,data science,python numpy scikitlearn machine learning teamwork pandas statistics matplotlib feature engineering critical thinking sql etl,analysis project communication project,ml engineer ai researcher ai researcher,fit
68,0.5555555555555556,4,1,game development,shader programming graphics programming game physics blender problem solving unity communication,ai project,unity developer unity developer,suggest
88,0.8888888888888888,0,1,game development,c shader programming graphics programming game physics critical thinking unreal engine blender game design ai,animation project level project,,suggest
74,1.0,0,0,game development,c shader programming teamwork graphics programming game physics unreal engine blender game design ai unity,critical thinking project,,suggest
75,0.4444444444444444,1,0,quality assurance,bug tracking test automation performance testing qa,communication project,quality analyst,partial
75,0.8333333333333334,6,1,devops,automation cicd ansible jenkins monitoring kubernetes docker scripting azure git communication,scaling project,site reliability engineer infrastructure engineer automation specialist,partial
87,0.4444444444444444,0,1,technical writing,writing guidelines reports manuals,documentation project critical thinking project,,no_fit
62,1.0,0,1,uiux design,user research ux interaction design journey mapping user testing adobe xd wireframe design sketch persona figma visual design prototype,design system project user testing project,,no_fit
94,0.9166666666666666,3,1,cybersecurity,teamwork siem incident response network security ethical hacking linux penetration testing forensics risk management vulnerability assessment security auditing firewall communication,intrusion project critical thinking project,security consultant penetration tester,fit
73,0.5555555555555556,6,1,quality assurance,manual testing test cases performance testing qa selenium critical thinking problem solving,regression project problem solving project,sdet sdet sdet,partial
63,1.0,5,0,business analysis,uml scrum process modeling documentation data analysis stakeholder management requirements gathering agile business process,communication project,business process analyst business analyst business process analyst,suggest
95,0.5833333333333334,1,1,cybersecurity,siem network security linux penetration testing cryptography forensics ethical hacking,pentest project incident response project,ethical hacker,partial
82,0.8888888888888888,0,1,quality assurance,manual testing test cases performance testing qa test automation jenkins bug tracking cypress,communication project validation project,,suggest
82,0.7777777777777778,2,1,augmented reality  virtual reality,c vr 3d animation ar interaction design 3d modeling unity communication,augmented project problem solving project,vr developer,fit
82,0.7777777777777778,0,1,business analysis,uml process modeling data analysis stakeholder management requirements gathering agile business process,communication project process project,,suggest
76,0.9,0,0,robotics,automation control systems mechanical design teamwork embedded systems robotics c critical thinking arduino ros sensors,critical thinking project,,suggest
81,0.6,0,1,digital marketing,email marketing social media content marketing ppc teamwork ads communication sem,campaign project,,no_fit
90,0.7777777777777778,5,1,augmented reality  virtual reality,c vr shader programming 3d animation 3d modeling unreal engine unity,virtual project simulation project,arvr developer xr engineer,fit
77,0.6666666666666666,0,1,mobile app development,xamarin android push notification uiux mobile react native objectivec app store mobile testing,login project firebase project,,no_fit
92,0.5,0,1,cloud computing,serverless aws cloud security terraform scaling teamwork critical thinking docker,microservices project infrastructure project,,suggest
91,0.7692307692307693,0,1,uiux design,user research ux user testing interaction design journey mapping wireframe design sketch persona visual design,user testing project,,suggest
68,0.5,5,1,cloud computing,gcp teamwork scaling monitoring docker cicd pipelines load balancing,orchestration project,site reliability engineer devops engineer,no_fit
69,0.8333333333333334,2,0,cloud computing,serverless cloud security aws gcp terraform scaling kubernetes docker cicd pipelines azure,teamwork project,cloud engineer,no_fit
82,1.0,5,1,data science,python numpy scikitlearn data visualization machine learning teamwork pandas statistics matplotlib feature engineering critical thinking r sql deep learning etl,regression project,analytics consultant data analyst ml engineer,fit
93,1.0,2,1,mobile app development,xamarin android kotlin push notification firebase teamwork uiux mobile swift flutter react native objectivec app store mobile testing communication,firebase project android project,android developer,fit
86,0.8888888888888888,4,1,augmented reality  virtual reality,c vr shader programming ar interaction design critical thinking 3d modeling unreal engine problem solving unity,virtual project vr project,xr engineer arvr developer xr engineer,fit
62,0.8888888888888888,5,1,business analysis,scrum uml process modeling documentation data analysis stakeholder management agile business process,analysis project,business process analyst business process analyst requirements engineer,suggest
71,0.625,0,1,product management,scrum market research roadmap stakeholder management analytics,market project release project,,suggest
63,1.0,0,1,digital marketing,email marketing social media content marketing ppc teamwork google analytics marketing strategy analytics seo ads sem,teamwork project traffic project,,no_fit
67,0.5,0,1,mobile app development,push notification firebase teamwork uiux mobile swift objectivec mobile testing communication,app project ui testing project,,no_fit
60,1.0,0,1,digital marketing,email marketing social media content marketing ppc google analytics marketing strategy analytics seo ads communication sem,branding project,,no_fit
86,1.0,0,0,game development,c shader programming graphics programming game physics critical thinking unreal engine blender game design ai unity communication,teamwork project,,suggest
79,0.7,8,1,blockchain,smart contracts truffle ethereum cryptography dapps communication nfts solidity,transaction project smart contract project,dapp developer web3 engineer dapp developer,partial
80,0.875,1,1,product management,scrum market research stakeholder management requirements gathering analytics prioritization agile,planning project roadmap project,product strategist,partial
84,0.75,0,1,devops,automation aws cicd ansible teamwork jenkins monitoring docker azure git communication,monitoring project deployment project,,suggest
88,0.5384615384615384,0,1,artificial intelligence,tensorflow reinforcement learning ml pipelines critical thinking keras nlp deep learning gan communication,chatbot project text processing project,,suggest
94,1.0,0,0,robotics,automation control systems mechanical design embedded systems robotics c arduino robot programming sensors ros,critical thinking project,,suggest
78,0.6666666666666666,3,1,devops,automation aws cicd terraform monitoring kubernetes scripting azure,scaling project monitoring project,build engineer,partial
87,0.7857142857142857,5,1,web development,graphql redux angular nodejs express css bootstrap react typescript vue sass,ecommerce project,backend developer backend engineer,fit
87,1.0,2,1,robotics,automation control systems mechanical design embedded systems robot programming robotics c critical thinking arduino ros sensors communication,simulation project,control systems engineer,fit
60,0.4444444444444444,4,1,quality assurance,test automation selenium performance testing qa,test scripts project unit test project,software tester quality analyst,no_fit
73,1.0,2,0,mobile app development,xamarin android kotlin firebase push notification uiux mobile flutter swift react native objectivec app store mobile testing,communication project,react native developer react native developer,partial
76,0.6923076923076923,3,0,artificial intelligence,scikitlearn tensorflow teamwork reinforcement learning cv computer vision rnn keras deep learning communication cnn,communication project,ai consultant,partial
83,0.6923076923076923,0,1,artificial intelligence,scikitlearn tensorflow teamwork reinforcement learning computer vision ml pipelines rnn keras nlp deep learning communication,teamwork project nlp project,,suggest
94,0.5555555555555556,7,1,technical writing,writing manuals reports content creation research communication,process docs project documentation project,technical author instructional designer technical author,fit
77,0.75,7,1,product management,market research stakeholder management requirements gathering prioritization analytics agile communication,launch project launch project,associate product manager project manager product manager,partial
91,0.5833333333333334,3,1,cloud computing,cloud security gcp aws terraform critical thinking docker cicd pipelines communication load balancing,infrastructure project problem solving project,cloud architect,fit
65,0.8888888888888888,5,1,game development,shader programming graphics programming game physics unreal engine blender game design ai unity communication,game project animation project,level designer gameplay programmer unity developer,no_fit
80,0.8,0,1,blockchain,truffle remix ethereum cryptography critical thinking dapps web3 nfts solidity,blockchain project decentralized project,,suggest
92,0.4615384615384615,0,1,artificial intelligence,scikitlearn cv ml pipelines rnn critical thinking problem solving keras gan,segmentation project,,suggest
60,0.5454545454545454,1,1,networking,lanwlan routing packet analysis network monitoring switching firewall communication,configuration project router project,system administrator,no_fit
61,0.8461538461538461,0,0,uiux design,user research ux user testing journey mapping interaction design adobe xd wireframe design sketch persona prototype,problem solving project,,no_fit
83,1.0,0,0,digital marketing,email marketing social media content marketing ppc teamwork google analytics marketing strategy analytics seo critical thinking ads sem,critical thinking project,,suggest
87,0.5384615384615384,2,1,data science,numpy scikitlearn machine learning statistics matplotlib critical thinking problem solving sql etl,report project,data engineer,fit
80,0.75,0,1,product management,scrum market research roadmap prioritization analytics problem solving agile communication,strategy project,,suggest
63,0.8888888888888888,0,1,technical writing,writing editing guidelines manuals critical thinking reports problem solving content creation research technical manuals,instructions project,,no_fit
95,0.8181818181818182,0,1,networking,lanwlan vpn teamwork firewall packet analysis cisco network monitoring dns tcpip dhcp,troubleshooting project,,suggest
72,0.6,3,1,robotics,automation mechanical design embedded systems c problem solving ros sensors communication,simulation project,mechatronics engineer robot programmer,partial
71,0.4444444444444444,0,1,technical writing,editing guidelines teamwork content creation research communication,documentation project documentation project,,no_fit
82,1.0,0,1,augmented reality  virtual reality,c vr 3d animation shader programming ar interaction design teamwork 3d modeling unreal engine unity,interactive project,,suggest
81,0.6,0,1,digital marketing,email marketing social media content marketing ppc teamwork ads communication sem,campaign project,,no_fit
73,1.0,3,1,augmented reality  virtual reality,c vr shader programming 3d animation ar interaction design 3d modeling unreal engine unity,interactive project,immersive experience designer,partial
80,0.5,5,0,blockchain,smart contracts defi problem solving dapps web3 nfts,critical thinking project communication project,dapp developer blockchain developer dapp developer,fit
56,0.7,5,1,digital marketing,email marketing social media ppc google analytics marketing strategy seo problem solving ads communication,conversion project branding project,sem specialist marketing analyst seo specialist,no_fit
66,0.7777777777777778,6,0,technical writing,writing editing guidelines teamwork manuals critical thinking reports research technical manuals,critical thinking project,content writer documentation specialist documentation specialist,no_fit
75,0.6153846153846154,0,0,artificial intelligence,tensorflow teamwork reinforcement learning computer vision ml pipelines cv critical thinking nlp deep learning cnn,teamwork project communication project,,suggest
88,0.5555555555555556,6,1,quality assurance,manual testing performance testing test automation jenkins critical thinking problem solving cypress,regression project,qa analyst test automation engineer qa engineer,fit
76,0.6666666666666666,0,1,mobile app development,xamarin android kotlin push notification firebase flutter problem solving objectivec mobile testing communication,mobile game project ui testing project,,no_fit
68,0.5384615384615384,3,1,uiux design,user research journey mapping adobe xd design critical thinking sketch visual design prototype,interface project mockup project,ui designer,no_fit
70,0.6666666666666666,2,1,game development,c game physics unreal engine blender ai unity,ai project,graphics programmer level designer,partial
65,0.8888888888888888,1,1,technical writing,writing documentation editing guidelines manuals critical thinking reports research technical manuals,documentation project,documentation specialist,suggest
84,0.5384615384615384,4,1,uiux design,user research ux teamwork adobe xd wireframe design critical thinking sketch visual design,design system project,experience designer product designer,fit
83,0.75,9,1,cloud computing,gcp aws cloud security terraform scaling docker cicd pipelines azure load balancing,deployment project problem solving project,cloud administrator cloud administrator infrastructure engineer,fit
91,1.0,0,1,product management,scrum market research roadmap stakeholder management requirements gathering prioritization analytics critical thinking agile communication,release project feature project,,suggest
64,0.4615384615384615,2,1,uiux design,user research journey mapping interaction design design persona visual design,design system project,visual designer,no_fit
93,0.6666666666666666,5,0,business analysis,uml process modeling documentation data analysis stakeholder management teamwork critical thinking agile,teamwork project,business analyst business process analyst product analyst,fit
76,0.5,0,1,product management,requirements gathering prioritization market research roadmap,feedback project release project,,suggest
62,0.6666666666666666,4,1,business analysis,scrum documentation stakeholder management requirements gathering critical thinking problem solving agile business process,workflow project analysis project,business process analyst process consultant,suggest
70,0.6666666666666666,0,1,technical writing,documentation editing manuals reports content creation technical manuals,guides project problem solving project,,suggest
60,0.6666666666666666,4,1,business analysis,scrum uml process modeling data analysis problem solving agile business process,gap analysis project,process consultant business analyst,no_fit
88,0.8,1,1,blockchain,smart contracts truffle ethereum cryptography defi dapps web3 solidity,smart contract project,smart contract developer,partial
79,0.8461538461538461,2,1,artificial intelligence,tensorflow teamwork reinforcement learning cv ml pipelines rnn computer vision pytorch keras nlp deep learning cnn,neural network project,deep learning engineer,partial
92,1.0,0,1,robotics,automation control systems mechanical design embedded systems robotics c arduino robot programming sensors ros,robot project actuators project,,suggest
91,0.6666666666666666,1,1,cybersecurity,siem incident response cryptography penetration testing forensics risk management security auditing firewall,encryption project teamwork project,cybersecurity engineer,partial
76,0.5833333333333334,4,1,cloud computing,gcp aws cloud security terraform scaling teamwork kubernetes communication load balancing,containers project,cloud architect cloud architect cloud architect,partial
77,1.0,0,1,networking,lanwlan vpn routing firewall packet analysis cisco network monitoring dns tcpip switching dhcp,firewall project router project,,suggest
93,0.75,5,1,database administration,backup data warehousing database design query optimization mysql nosql postgresql performance tuning replication,optimization project,database administrator sql developer,fit
59,0.5,6,1,digital marketing,email marketing social media marketing strategy critical thinking ads communication sem,conversion project traffic project,marketing analyst sem specialist marketing analyst,no_fit
83,0.4444444444444444,0,1,business analysis,documentation data analysis stakeholder management teamwork communication business process,requirement project,,suggest
65,0.8461538461538461,6,1,uiux design,user research ux user testing interaction design journey mapping teamwork adobe xd wireframe design sketch persona visual design communication,ux project mockup project,uiux specialist interaction designer experience designer,no_fit
81,0.5833333333333334,1,1,cybersecurity,incident response network security cryptography risk management ethical hacking security auditing firewall,intrusion project,security analyst,partial
74,0.8,0,1,blockchain,truffle smart contracts remix cryptography defi dapps nfts solidity,transaction project,,suggest
92,1.0,3,1,web development,graphql html redux angular javascript teamwork nodejs express nextjs css bootstrap react typescript vue sass,communication project api project,web developer,fit
83,0.6,3,1,blockchain,truffle smart contracts ethereum cryptography dapps nfts,critical thinking project ledger project,blockchain developer,fit
81,0.7777777777777778,0,1,quality assurance,manual testing test cases performance testing qa selenium jenkins critical thinking problem solving cypress,regression project,,suggest
66,0.4444444444444444,8,1,quality assurance,manual testing qa jenkins problem solving cypress,validation project communication project,test automation engineer test automation engineer sdet,no_fit
89,1.0,7,1,devops,automation aws cicd ansible terraform jenkins monitoring kubernetes docker scripting azure git,build project release project,release manager release manager devops engineer,fit
56,0.7,3,0,digital marketing,email marketing social media content marketing google analytics marketing strategy analytics critical thinking communication sem,problem solving project,digital marketer,no_fit
71,0.8888888888888888,0,0,business analysis,uml process modeling documentation data analysis stakeholder management requirements gathering critical thinking agile business process,problem solving project,,suggest
92,0.5,0,1,blockchain,truffle smart contracts remix teamwork defi dapps,ledger project ledger project,,no_fit
